"Simulation","Time","Index"
0,0,1
0,1,1.0255648717596584
1,1,1.0703333926183414
2,1,1.0264150567317536
3,1,1.0404649316192367
4,1,1.0293382378821352
5,1,1.0348490061259745
6,1,1.0486534297305805
7,1,1.0193531200232446
8,1,1.04339903408143
9,1,1.0390678333535674
10,1,1.0438985333020943
11,1,1.0172448485942527
12,1,1.0076305839901851
13,1,1.0185604999375029
14,1,1.0359736253935952
15,1,1.0310668031391104
16,1,1.059493144259277
17,1,1.037888814683631
18,1,1.0386743312791173
19,1,1.0482773442805673
20,1,1.0193648940740025
21,1,1.0220183816754262
22,1,1.0341852549554622
23,1,1.014166843466587
24,1,1.0197075016643913
25,1,1.048711699829782
26,1,1.0166986534201545
27,1,1.043112524822396
28,1,1.017371799545255
29,1,1.0317009991836112
30,1,1.0513781969114218
31,1,1.0629325103867464
32,1,1.0299517550625357
33,1,1.0522273441009362
34,1,1.0512931582451976
35,1,1.0453431603756465
36,1,1.05533983431926
37,1,1.0221067352141753
38,1,1.0445249935124745
39,1,1.037248665747107
40,1,1.0176617694374253
41,1,1.0282969727190678
42,1,1.043030843465165
43,1,1.0274747348113686
44,1,1.015415538386061
45,1,1.0152604911500425
46,1,1.0523173345492802
47,1,1.01815921800473
48,1,1.0063629250384936
49,1,1.0124577923149287
50,1,1.0211605858739174
51,1,1.045600602268544
52,1,1.0308906894200973
53,1,1.0371895567292637
54,1,1.0245491686995292
55,1,1.0423896325060837
56,1,1.0458593707670898
57,1,0.9994870848081254
58,1,1.0138137803957603
59,1,1.0135677374695469
60,1,1.0443298934756182
61,1,1.0221396271228773
62,1,1.0465684215551274
63,1,1.026674860612328
64,1,1.064295185051251
65,1,1.039705283762469
66,1,1.0464074055143424
67,1,1.0428795442366574
68,1,1.017939991104288
69,1,1.0483614259940957
70,1,1.0091795905648968
71,1,1.0196463705910146
72,1,1.0382961397370214
73,1,1.0206800699094039
74,1,1.0347860207274506
75,1,1.018440020368722
76,1,1.0220994848937108
77,1,1.0215045149809319
78,1,1.0480862226833239
79,1,1.0051618877675788
80,1,1.0278823453421215
81,1,1.0197634422952537
82,1,1.0418115185733057
83,1,1.0395191466258487
84,1,1.0061632352907015
85,1,1.0334357693553706
86,1,1.0402697416937292
87,1,1.0641284258570118
88,1,1.0268249253535555
89,1,1.0391993602419498
90,1,1.0515698388855117
91,1,1.0350488125662853
92,1,1.0393043778793376
93,1,1.0340443512625075
94,1,1.0412464321568067
95,1,1.0377996322724938
96,1,1.054436403490323
97,1,1.0433210627723326
98,1,1.0716621960037107
99,1,1.0674857788169687
100,1,1.0152422857064587
101,1,1.0596253655597183
102,1,1.0218632060104993
103,1,1.0425774875851275
104,1,1.0507790274365065
105,1,1.0417973455755847
106,1,1.0398838667529595
107,1,1.0268443047589282
108,1,1.025966413608858
109,1,1.0311046903228895
110,1,1.032389630780091
111,1,1.058096570725943
112,1,1.0312373246243234
113,1,1.0223203576496933
114,1,1.0089174759434598
115,1,1.0208378301246783
116,1,1.009134330959592
117,1,1.02582624669369
118,1,1.016247767697955
119,1,1.0369884611907743
120,1,0.9997278544308296
121,1,1.0204104508400587
122,1,1.033761197622785
123,1,1.0432831002937928
124,1,1.0357183875424631
125,1,1.0272183723130535
126,1,1.021743704522169
127,1,1.0433773094370336
128,1,1.0446898100044417
129,1,1.0341711101980224
130,1,1.0733865126864255
131,1,1.0337581457864071
132,1,1.0358500801647748
133,1,1.0227274462698253
134,1,1.0276421820980413
135,1,1.0370674952470653
136,1,1.015861554762336
137,1,1.0473249176738255
138,1,1.0303752856410577
139,1,1.0345162045511733
140,1,1.0142235597206708
141,1,1.0463192095446538
142,1,1.0476620726873138
143,1,1.0451263875728514
144,1,1.0504858203257625
145,1,1.0219938536757442
146,1,1.0226987102241685
147,1,1.0387882463230067
148,1,1.0440664197753056
149,1,1.0301670305666422
150,1,1.0257790455640639
151,1,1.0368572575940307
152,1,1.039421374825412
153,1,1.0193254619807475
154,1,1.0418020551512053
155,1,1.0492819482181814
156,1,1.025267194226298
157,1,1.0625312990948574
158,1,1.0344026375749595
159,1,1.0404235549705592
160,1,1.0225986440327945
161,1,1.062965054177622
162,1,1.0133700299857606
163,1,1.0152887585765151
164,1,1.0334644456162991
165,1,1.0275170436957493
166,1,1.0425106652521479
167,1,1.0265942165349977
168,1,1.0446777265272755
169,1,1.020034157715475
170,1,1.0556846703174503
171,1,1.0550211252993282
172,1,1.0345510023889772
173,1,1.0359969501786208
174,1,1.031694816759931
175,1,1.0120346775976456
176,1,1.0403984392897205
177,1,1.0257308690301858
178,1,1.0404519783909207
179,1,1.019276778441011
180,1,1.031992251316088
181,1,1.0263508624182396
182,1,1.0144432284367986
183,1,1.0547303539924697
184,1,1.0192768272362316
185,1,1.0156726068374307
186,1,1.0639321345303345
187,1,1.0585060321779054
188,1,1.023327062295299
189,1,1.0547265715695664
190,1,1.0246214567007497
191,1,1.0207476715117958
192,1,1.031727488289038
193,1,1.0246987365995626
194,1,1.039705458016819
195,1,1.03923890710876
196,1,1.0108203649394525
197,1,1.0333063478618731
198,1,1.0428757421715475
